date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:03:35	33236/33236	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Mar%202018%2015:36:17%20GMT	https://www.menada-winery.com/images/posters/litlevid.jpg	/home/acrtech/websites/wine/www.menada-winery.com/images/posters/litlevid.jpg	(from https://www.menada-winery.com/en)
10:03:36	707/707	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2006%20Mar%202018%2012:23:45%20GMT	https://www.menada-winery.com/images/homepage/video-player.svg	/home/acrtech/websites/wine/www.menada-winery.com/images/homepage/video-player.svg	(from https://www.menada-winery.com/en)
10:03:37	2073/2073	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2006%20Mar%202018%2012:23:44%20GMT	https://www.menada-winery.com/images/homepage/bottles.svg	/home/acrtech/websites/wine/www.menada-winery.com/images/homepage/bottles.svg	(from https://www.menada-winery.com/en)
10:03:38	16987/16987	---M--	200	added ('OK')	image/png	date:Tue,%2012%20Jun%202018%2012:12:57%20GMT	https://www.menada-winery.com/images/homepage/small-white-grape.png	/home/acrtech/websites/wine/www.menada-winery.com/images/homepage/small-white-grape.png	(from https://www.menada-winery.com/en)
10:03:40	269765/269765	---M--	200	added ('OK')	image/png	date:Tue,%2012%20Jun%202018%2012:12:57%20GMT	https://www.menada-winery.com/images/homepage/single-white-grape.png	/home/acrtech/websites/wine/www.menada-winery.com/images/homepage/single-white-grape.png	(from https://www.menada-winery.com/en)
10:03:41	61628/61628	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Sep%202019%2007:46:39%20GMT	https://www.menada-winery.com/images/homepage/about-bg.jpg	/home/acrtech/websites/wine/www.menada-winery.com/images/homepage/about-bg.jpg	(from https://www.menada-winery.com/en)
10:03:43	121336/121336	---M--	200	added ('OK')	image/jpeg	date:Thu,%2018%20Sep%202025%2007:49:32%20GMT	https://www.menada-winery.com/images/homepage/dadova-large-bg.jpg	/home/acrtech/websites/wine/www.menada-winery.com/images/homepage/dadova-large-bg.jpg	(from https://www.menada-winery.com/en)
10:03:43	354108/354108	---M--	200	added ('OK')	image/png	date:Tue,%2006%20Mar%202018%2012:23:44%20GMT	https://www.menada-winery.com/images/homepage/left-leaf-bg.png	/home/acrtech/websites/wine/www.menada-winery.com/images/homepage/left-leaf-bg.png	(from https://www.menada-winery.com/en)
10:03:44	28919/28919	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Sep%202025%2007:49:32%20GMT	https://www.menada-winery.com/images/homepage/dadova-logo.png	/home/acrtech/websites/wine/www.menada-winery.com/images/homepage/dadova-logo.png	(from https://www.menada-winery.com/en)
10:03:44	176691/176691	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Sep%202025%2007:49:32%20GMT	https://www.menada-winery.com/images/homepage/dadova-large-bottle.png	/home/acrtech/websites/wine/www.menada-winery.com/images/homepage/dadova-large-bottle.png	(from https://www.menada-winery.com/en)
10:03:45	15043/15043	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Jul%202021%2008:04:07%20GMT	https://www.menada-winery.com/images/homepage/grid-item-bottom-bg.jpg	/home/acrtech/websites/wine/www.menada-winery.com/images/homepage/grid-item-bottom-bg.jpg	(from https://www.menada-winery.com/en)
10:03:46	11325/11325	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Mar%202018%2012:23:44%20GMT	https://www.menada-winery.com/images/homepage/tcherga-bottle-bg-large.jpg	/home/acrtech/websites/wine/www.menada-winery.com/images/homepage/tcherga-bottle-bg-large.jpg	(from https://www.menada-winery.com/en)
10:03:47	62790/62790	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Sep%202019%2007:46:39%20GMT	https://www.menada-winery.com/images/homepage/tcherga-bottle-white.png	/home/acrtech/websites/wine/www.menada-winery.com/images/homepage/tcherga-bottle-white.png	(from https://www.menada-winery.com/en)
10:03:48	2863/2863	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2006%20Mar%202018%2012:23:46%20GMT	https://www.menada-winery.com/images/homepage/tcherga_logo.svg	/home/acrtech/websites/wine/www.menada-winery.com/images/homepage/tcherga_logo.svg	(from https://www.menada-winery.com/en)
10:03:49	48240/48240	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2003%20Sep%202019%2007:46:39%20GMT	https://www.menada-winery.com/images/homepage/menada-symbol-bg.svg	/home/acrtech/websites/wine/www.menada-winery.com/images/homepage/menada-symbol-bg.svg	(from https://www.menada-winery.com/en)
10:03:51	71632/71632	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Nov%202024%2010:43:08%20GMT	https://www.menada-winery.com/images/homepage/menada-bottle.png	/home/acrtech/websites/wine/www.menada-winery.com/images/homepage/menada-bottle.png	(from https://www.menada-winery.com/en)
10:03:51	5679/5679	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2006%20Mar%202018%2012:23:45%20GMT	https://www.menada-winery.com/images/homepage/menada-title.svg	/home/acrtech/websites/wine/www.menada-winery.com/images/homepage/menada-title.svg	(from https://www.menada-winery.com/en)
10:03:52	8951/8951	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Mar%202018%2012:23:45%20GMT	https://www.menada-winery.com/images/homepage/region-title-bg.jpg	/home/acrtech/websites/wine/www.menada-winery.com/images/homepage/region-title-bg.jpg	(from https://www.menada-winery.com/en)
10:03:54	472637/472637	---M--	200	added ('OK')	image/png	date:Tue,%2006%20Mar%202018%2012:23:45%20GMT	https://www.menada-winery.com/images/homepage/item-bg.png	/home/acrtech/websites/wine/www.menada-winery.com/images/homepage/item-bg.png	(from https://www.menada-winery.com/en)
10:03:54	35042/35042	---M--	200	added ('OK')	image/png	date:Tue,%2006%20Mar%202018%2012:23:44%20GMT	https://www.menada-winery.com/images/homepage/bulgaria-map.png	/home/acrtech/websites/wine/www.menada-winery.com/images/homepage/bulgaria-map.png	(from https://www.menada-winery.com/en)
10:03:56	30752/30752	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Mar%202018%2015:36:17%20GMT	https://www.menada-winery.com/images/posters/zanimaciq.jpg	/home/acrtech/websites/wine/www.menada-winery.com/images/posters/zanimaciq.jpg	(from https://www.menada-winery.com/en)
10:03:57	268841/268841	---M--	200	added ('OK')	image/png	date:Tue,%2006%20Mar%202018%2012:23:45%20GMT	https://www.menada-winery.com/images/homepage/region-menada-bg.png	/home/acrtech/websites/wine/www.menada-winery.com/images/homepage/region-menada-bg.png	(from https://www.menada-winery.com/en)
10:03:58	130318/130318	---M--	200	added ('OK')	image/png	date:Tue,%2006%20Mar%202018%2012:23:46%20GMT	https://www.menada-winery.com/images/homepage/glass.png	/home/acrtech/websites/wine/www.menada-winery.com/images/homepage/glass.png	(from https://www.menada-winery.com/en)
10:03:58	4122/4122	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Mar%202018%2012:23:44%20GMT	https://www.menada-winery.com/images/homepage/wine-item-bg.jpg	/home/acrtech/websites/wine/www.menada-winery.com/images/homepage/wine-item-bg.jpg	(from https://www.menada-winery.com/en)
10:03:59	28179/28179	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Mar%202018%2012:24:18%20GMT	https://www.menada-winery.com/attachments/Recipe/10/main/cucumber_thumb-list.jpg	/home/acrtech/websites/wine/www.menada-winery.com/attachments/Recipe/10/main/cucumber_thumb-list.jpg	(from https://www.menada-winery.com/en)
10:04:00	40467/40467	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202025%2010:04:00%20GMT	https://www.menada-winery.com/en/recipes/cucumber-cocktail	/home/acrtech/websites/wine/www.menada-winery.com/en/recipes/cucumber-cocktail.html	(from https://www.menada-winery.com/en)
10:04:01	26633/26633	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Mar%202018%2012:24:19%20GMT	https://www.menada-winery.com/attachments/Recipe/9/main/watermelon_thumb-list.jpg	/home/acrtech/websites/wine/www.menada-winery.com/attachments/Recipe/9/main/watermelon_thumb-list.jpg	(from https://www.menada-winery.com/en)
10:04:02	40304/40304	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202025%2010:04:02%20GMT	https://www.menada-winery.com/en/recipes/sangria-with-watermelon-and-raspberry	/home/acrtech/websites/wine/www.menada-winery.com/en/recipes/sangria-with-watermelon-and-raspberry.html	(from https://www.menada-winery.com/en)
